,gate_estimate_arm0,gate_estimate_arm1,gate_estimate,name,type,recency,delta,num_cells_per_dim,time_block_length,n,T,kappa,true_GATE
0,0.7815057113825132,0.7279397281451064,-0.0535659832374068,"Horvitz-Thompson(recency=10,delta=0.20)",HT,10,0.2,1,1500,100,10000,0.2,1.0121036393762477
1,1.043086531323911,0.0,-1.043086531323911,"Horvitz-Thompson(recency=10,delta=0.20)",HT,10,0.2,1,1500,100,10000,0.2,1.0121036393762477
2,0.47284769130726356,1.6332890596934768,1.1604413683862131,"Horvitz-Thompson(recency=10,delta=0.20)",HT,10,0.2,1,1500,100,10000,0.2,1.0121036393762477
3,0.4207812205337963,1.805375995473198,1.3845947749394019,"Horvitz-Thompson(recency=10,delta=0.20)",HT,10,0.2,1,1500,100,10000,0.2,1.0121036393762477
4,0.5775759296964235,1.3405185867137217,0.7629426570172982,"Horvitz-Thompson(recency=10,delta=0.20)",HT,10,0.2,1,1500,100,10000,0.2,1.0121036393762477
5,0.0,3.032559695280053,3.032559695280053,"Horvitz-Thompson(recency=10,delta=0.20)",HT,10,0.2,1,1500,100,10000,0.2,1.0121036393762477
6,0.5730066927214394,1.3375011368749916,0.7644944441535522,"Horvitz-Thompson(recency=10,delta=0.20)",HT,10,0.2,1,1500,100,10000,0.2,1.0121036393762477
7,0.4687281128963116,1.6184038913053804,1.1496757784090688,"Horvitz-Thompson(recency=10,delta=0.20)",HT,10,0.2,1,1500,100,10000,0.2,1.0121036393762477
8,0.31283070979644234,2.0975553321216514,1.784724622325209,"Horvitz-Thompson(recency=10,delta=0.20)",HT,10,0.2,1,1500,100,10000,0.2,1.0121036393762477
9,0.4728857180123276,1.6322309952232699,1.1593452772109423,"Horvitz-Thompson(recency=10,delta=0.20)",HT,10,0.2,1,1500,100,10000,0.2,1.0121036393762477
10,0.6213274893611613,1.1679915712382731,0.5466640818771118,"Horvitz-Thompson(recency=10,delta=0.20)",HT,10,0.2,1,1500,100,10000,0.2,1.0121036393762477
11,0.46774105964738505,1.6214271071750903,1.1536860475277053,"Horvitz-Thompson(recency=10,delta=0.20)",HT,10,0.2,1,1500,100,10000,0.2,1.0121036393762477
12,0.7299835841467331,0.8681658130117155,0.13818222886498233,"Horvitz-Thompson(recency=10,delta=0.20)",HT,10,0.2,1,1500,100,10000,0.2,1.0121036393762477
13,0.3097825683158426,2.0709242403797834,1.7611416720639408,"Horvitz-Thompson(recency=10,delta=0.20)",HT,10,0.2,1,1500,100,10000,0.2,1.0121036393762477
14,0.7294165278276945,0.880370179722228,0.15095365189453347,"Horvitz-Thompson(recency=10,delta=0.20)",HT,10,0.2,1,1500,100,10000,0.2,1.0121036393762477
15,0.7294903344864128,0.881859338515306,0.1523690040288932,"Horvitz-Thompson(recency=10,delta=0.20)",HT,10,0.2,1,1500,100,10000,0.2,1.0121036393762477
16,0.7814217323529714,0.7297119645294419,-0.05170976782352954,"Horvitz-Thompson(recency=10,delta=0.20)",HT,10,0.2,1,1500,100,10000,0.2,1.0121036393762477
17,0.7294064327240263,0.8818623809196693,0.152455948195643,"Horvitz-Thompson(recency=10,delta=0.20)",HT,10,0.2,1,1500,100,10000,0.2,1.0121036393762477
