,gate_estimate_arm0,gate_estimate_arm1,gate_estimate,name,type,burn-in,n,T,num_cells_per_dim,time_block_length,kappa,true_GATE
0,0.5360273745280459,1.3240078206279793,0.7879804460999333,Diff-Means(burn-in=5),DM,5,100,10000,1,200,0.2,1.0121036393762477
1,0.543425051622504,1.3114536306194102,0.7680285789969062,Diff-Means(burn-in=5),DM,5,100,10000,1,200,0.2,1.0121036393762477
2,0.5466181723112358,1.3421420907102055,0.7955239183989697,Diff-Means(burn-in=5),DM,5,100,10000,1,200,0.2,1.0121036393762477
3,0.5315710299078967,1.2826298596550423,0.7510588297471456,Diff-Means(burn-in=5),DM,5,100,10000,1,200,0.2,1.0121036393762477
4,0.5297387602418617,1.262099320994978,0.7323605607531163,Diff-Means(burn-in=5),DM,5,100,10000,1,200,0.2,1.0121036393762477
5,0.5469801026971598,1.2870175796137477,0.7400374769165879,Diff-Means(burn-in=5),DM,5,100,10000,1,200,0.2,1.0121036393762477
6,0.5409573491549322,1.342903874007718,0.8019465248527857,Diff-Means(burn-in=5),DM,5,100,10000,1,200,0.2,1.0121036393762477
7,0.5426242791896738,1.3843632195407063,0.8417389403510325,Diff-Means(burn-in=5),DM,5,100,10000,1,200,0.2,1.0121036393762477
8,0.5488067085127155,1.3312420249062753,0.7824353163935598,Diff-Means(burn-in=5),DM,5,100,10000,1,200,0.2,1.0121036393762477
9,0.5412311944486057,1.3675726219847029,0.8263414275360972,Diff-Means(burn-in=5),DM,5,100,10000,1,200,0.2,1.0121036393762477
10,0.5421647322667161,1.3951765543376364,0.8530118220709203,Diff-Means(burn-in=5),DM,5,100,10000,1,200,0.2,1.0121036393762477
11,0.5387969208334898,1.288424185128144,0.7496272642946541,Diff-Means(burn-in=5),DM,5,100,10000,1,200,0.2,1.0121036393762477
12,0.5403541704977445,1.2924212397452906,0.7520670692475461,Diff-Means(burn-in=5),DM,5,100,10000,1,200,0.2,1.0121036393762477
13,0.539689255351497,1.3184176876932825,0.7787284323417855,Diff-Means(burn-in=5),DM,5,100,10000,1,200,0.2,1.0121036393762477
14,0.5424731886772611,1.3119648779455821,0.769491689268321,Diff-Means(burn-in=5),DM,5,100,10000,1,200,0.2,1.0121036393762477
15,0.5334213209027995,1.2890597679002527,0.7556384469974532,Diff-Means(burn-in=5),DM,5,100,10000,1,200,0.2,1.0121036393762477
16,0.5378577651901282,1.2812865799605124,0.7434288147703842,Diff-Means(burn-in=5),DM,5,100,10000,1,200,0.2,1.0121036393762477
17,0.5430864277261643,1.2763453990736542,0.7332589713474899,Diff-Means(burn-in=5),DM,5,100,10000,1,200,0.2,1.0121036393762477
18,0.5367083312101963,1.3228567766744255,0.7861484454642291,Diff-Means(burn-in=5),DM,5,100,10000,1,200,0.2,1.0121036393762477
19,0.5434166906294682,1.302577873484433,0.7591611828549649,Diff-Means(burn-in=5),DM,5,100,10000,1,200,0.2,1.0121036393762477
20,0.5382157881405638,1.3665763602892123,0.8283605721486484,Diff-Means(burn-in=5),DM,5,100,10000,1,200,0.2,1.0121036393762477
21,0.5547631519065759,1.30791709120651,0.753153939299934,Diff-Means(burn-in=5),DM,5,100,10000,1,200,0.2,1.0121036393762477
22,0.5404163010654428,1.3647479441295673,0.8243316430641245,Diff-Means(burn-in=5),DM,5,100,10000,1,200,0.2,1.0121036393762477
23,0.5550521615768068,1.3080397084820203,0.7529875469052135,Diff-Means(burn-in=5),DM,5,100,10000,1,200,0.2,1.0121036393762477
24,0.542480568271427,1.3209301960944366,0.7784496278230096,Diff-Means(burn-in=5),DM,5,100,10000,1,200,0.2,1.0121036393762477
25,0.5555048411256956,1.3272903627136847,0.7717855215879891,Diff-Means(burn-in=5),DM,5,100,10000,1,200,0.2,1.0121036393762477
