,gate_estimate_arm0,gate_estimate_arm1,gate_estimate,name,type,recency,delta,num_cells_per_dim,time_block_length,n,T,burn-in,frac_param,kappa,true_GATE
0,0.5658886220621661,1.092007335563362,0.5261187135011959,"Horvitz-Thompson(recency=15.0,delta=0.20)",HT,15.0,0.2,1,60,100,10000,,yes,0.2,1.0121036393762477
1,0.54027284407717,1.1424501018318884,0.6021772577547184,"Horvitz-Thompson(recency=15.0,delta=0.20)",HT,15.0,0.2,1,60,100,10000,,yes,0.2,1.0121036393762477
2,0.5156589742883257,1.0855545399293955,0.5698955656410698,"Horvitz-Thompson(recency=15.0,delta=0.20)",HT,15.0,0.2,1,60,100,10000,,yes,0.2,1.0121036393762477
3,0.5466062248620501,0.9750025866497375,0.42839636178768736,"Horvitz-Thompson(recency=15.0,delta=0.20)",HT,15.0,0.2,1,60,100,10000,,yes,0.2,1.0121036393762477
4,0.6018770567421662,0.9326794139529091,0.3308023572107429,"Horvitz-Thompson(recency=15.0,delta=0.20)",HT,15.0,0.2,1,60,100,10000,,yes,0.2,1.0121036393762477
5,0.5266174200846657,1.102810516592997,0.5761930965083312,"Horvitz-Thompson(recency=15.0,delta=0.20)",HT,15.0,0.2,1,60,100,10000,,yes,0.2,1.0121036393762477
6,0.5795459636083408,0.9685087442639809,0.38896278065564016,"Horvitz-Thompson(recency=15.0,delta=0.20)",HT,15.0,0.2,1,60,100,10000,,yes,0.2,1.0121036393762477
7,0.44519136266536063,1.3898948762419985,0.9447035135766378,"Horvitz-Thompson(recency=15.0,delta=0.20)",HT,15.0,0.2,1,60,100,10000,,yes,0.2,1.0121036393762477
8,0.49620941930720897,1.2688115502469788,0.7726021309397698,"Horvitz-Thompson(recency=15.0,delta=0.20)",HT,15.0,0.2,1,60,100,10000,,yes,0.2,1.0121036393762477
9,0.5095227325465636,1.0489810259898575,0.539458293443294,"Horvitz-Thompson(recency=15.0,delta=0.20)",HT,15.0,0.2,1,60,100,10000,,yes,0.2,1.0121036393762477
10,0.6236755806447697,0.8914288386269337,0.267753257982164,"Horvitz-Thompson(recency=15.0,delta=0.20)",HT,15.0,0.2,1,60,100,10000,,yes,0.2,1.0121036393762477
11,0.5627547949726914,1.1592192808316193,0.5964644858589279,"Horvitz-Thompson(recency=15.0,delta=0.20)",HT,15.0,0.2,1,60,100,10000,,yes,0.2,1.0121036393762477
12,0.5111216741691179,1.0918347677698133,0.5807130936006953,"Horvitz-Thompson(recency=15.0,delta=0.20)",HT,15.0,0.2,1,60,100,10000,,yes,0.2,1.0121036393762477
13,0.4907960836622928,1.1876890591824694,0.6968929755201765,"Horvitz-Thompson(recency=15.0,delta=0.20)",HT,15.0,0.2,1,60,100,10000,,yes,0.2,1.0121036393762477
14,0.5534038453573109,1.0915109506520648,0.5381071052947539,"Horvitz-Thompson(recency=15.0,delta=0.20)",HT,15.0,0.2,1,60,100,10000,,yes,0.2,1.0121036393762477
15,0.5621975951424825,0.9994538057054658,0.43725621056298336,"Horvitz-Thompson(recency=15.0,delta=0.20)",HT,15.0,0.2,1,60,100,10000,,yes,0.2,1.0121036393762477
16,0.616098146703291,0.9256676998758788,0.30956955317258783,"Horvitz-Thompson(recency=15.0,delta=0.20)",HT,15.0,0.2,1,60,100,10000,,yes,0.2,1.0121036393762477
