,gate_estimate_arm0,gate_estimate_arm1,gate_estimate,name,type,recency,delta,num_cells_per_dim,time_block_length,n,T,burn-in,frac_param,kappa,true_GATE
0,0.5367223540964923,1.0623901044142043,0.5256677503177121,"Horvitz-Thompson(recency=10.0,delta=0.20)",HT,10.0,0.2,5,40,100,10000,,yes,0.2,1.0121036393762477
1,0.5260812348062254,1.0083704293227842,0.48228919451655883,"Horvitz-Thompson(recency=10.0,delta=0.20)",HT,10.0,0.2,5,40,100,10000,,yes,0.2,1.0121036393762477
2,0.5088895062536652,1.053555080204164,0.5446655739504987,"Horvitz-Thompson(recency=10.0,delta=0.20)",HT,10.0,0.2,5,40,100,10000,,yes,0.2,1.0121036393762477
3,0.5581401280964068,0.962801346521045,0.4046612184246382,"Horvitz-Thompson(recency=10.0,delta=0.20)",HT,10.0,0.2,5,40,100,10000,,yes,0.2,1.0121036393762477
4,0.46135567600029764,1.0354120639150064,0.5740563879147087,"Horvitz-Thompson(recency=10.0,delta=0.20)",HT,10.0,0.2,5,40,100,10000,,yes,0.2,1.0121036393762477
5,0.550557656481268,0.9797088158053069,0.4291511593240389,"Horvitz-Thompson(recency=10.0,delta=0.20)",HT,10.0,0.2,5,40,100,10000,,yes,0.2,1.0121036393762477
6,0.5696685292661137,0.8718172479820916,0.3021487187159779,"Horvitz-Thompson(recency=10.0,delta=0.20)",HT,10.0,0.2,5,40,100,10000,,yes,0.2,1.0121036393762477
7,0.545045175769327,1.1041968554347805,0.5591516796654535,"Horvitz-Thompson(recency=10.0,delta=0.20)",HT,10.0,0.2,5,40,100,10000,,yes,0.2,1.0121036393762477
8,0.5225658727680246,0.9543822497258092,0.43181637695778463,"Horvitz-Thompson(recency=10.0,delta=0.20)",HT,10.0,0.2,5,40,100,10000,,yes,0.2,1.0121036393762477
9,0.5697531584400363,0.9603146611638721,0.39056150272383583,"Horvitz-Thompson(recency=10.0,delta=0.20)",HT,10.0,0.2,5,40,100,10000,,yes,0.2,1.0121036393762477
10,0.5757756538023264,0.9893560421720641,0.41358038836973765,"Horvitz-Thompson(recency=10.0,delta=0.20)",HT,10.0,0.2,5,40,100,10000,,yes,0.2,1.0121036393762477
