,gate_estimate_arm0,gate_estimate_arm1,gate_estimate,name,type,recency,delta,num_cells_per_dim,time_block_length,n,T,burn-in,frac_param,kappa,true_GATE
0,0.5630889649252846,0.7504752762227778,0.18738631129749317,"Horvitz-Thompson(recency=5.0,delta=0.20)",HT,5.0,0.2,6,20,100,10000,,yes,0.2,1.0121036393762477
1,0.5524981805501574,0.8258027502552343,0.2733045697050769,"Horvitz-Thompson(recency=5.0,delta=0.20)",HT,5.0,0.2,6,20,100,10000,,yes,0.2,1.0121036393762477
2,0.5553168383453899,0.7973233121482327,0.2420064738028428,"Horvitz-Thompson(recency=5.0,delta=0.20)",HT,5.0,0.2,6,20,100,10000,,yes,0.2,1.0121036393762477
3,0.5175147101358692,0.8385198837245199,0.32100517358865066,"Horvitz-Thompson(recency=5.0,delta=0.20)",HT,5.0,0.2,6,20,100,10000,,yes,0.2,1.0121036393762477
4,0.5763256260227442,0.8368263956760479,0.2605007696533037,"Horvitz-Thompson(recency=5.0,delta=0.20)",HT,5.0,0.2,6,20,100,10000,,yes,0.2,1.0121036393762477
5,0.5259007157470655,0.7645115166310132,0.2386108008839477,"Horvitz-Thompson(recency=5.0,delta=0.20)",HT,5.0,0.2,6,20,100,10000,,yes,0.2,1.0121036393762477
6,0.6047953893897996,0.7398882020568059,0.13509281266700635,"Horvitz-Thompson(recency=5.0,delta=0.20)",HT,5.0,0.2,6,20,100,10000,,yes,0.2,1.0121036393762477
7,0.5211799834193387,0.8547987886153161,0.3336188051959774,"Horvitz-Thompson(recency=5.0,delta=0.20)",HT,5.0,0.2,6,20,100,10000,,yes,0.2,1.0121036393762477
8,0.49900148593973553,0.8240643437847779,0.32506285784504235,"Horvitz-Thompson(recency=5.0,delta=0.20)",HT,5.0,0.2,6,20,100,10000,,yes,0.2,1.0121036393762477
9,0.5553851608904886,0.8043848600512884,0.24899969916079978,"Horvitz-Thompson(recency=5.0,delta=0.20)",HT,5.0,0.2,6,20,100,10000,,yes,0.2,1.0121036393762477
10,0.5059574999772025,0.8095945240292319,0.3036370240520294,"Horvitz-Thompson(recency=5.0,delta=0.20)",HT,5.0,0.2,6,20,100,10000,,yes,0.2,1.0121036393762477
11,0.522003761464872,0.8121595056316717,0.2901557441667997,"Horvitz-Thompson(recency=5.0,delta=0.20)",HT,5.0,0.2,6,20,100,10000,,yes,0.2,1.0121036393762477
12,0.5495018003177023,0.8375046739967198,0.28800287367901745,"Horvitz-Thompson(recency=5.0,delta=0.20)",HT,5.0,0.2,6,20,100,10000,,yes,0.2,1.0121036393762477
13,0.5247840835270863,0.7510337682611006,0.2262496847340143,"Horvitz-Thompson(recency=5.0,delta=0.20)",HT,5.0,0.2,6,20,100,10000,,yes,0.2,1.0121036393762477
14,0.5400653628795931,0.8156624081925067,0.2755970453129136,"Horvitz-Thompson(recency=5.0,delta=0.20)",HT,5.0,0.2,6,20,100,10000,,yes,0.2,1.0121036393762477
15,0.5345728204843017,0.8308976847799892,0.2963248642956875,"Horvitz-Thompson(recency=5.0,delta=0.20)",HT,5.0,0.2,6,20,100,10000,,yes,0.2,1.0121036393762477
16,0.5229618103790111,0.8019163800984742,0.2789545697194631,"Horvitz-Thompson(recency=5.0,delta=0.20)",HT,5.0,0.2,6,20,100,10000,,yes,0.2,1.0121036393762477
17,0.5401822899909526,0.7492242729655386,0.20904198297458598,"Horvitz-Thompson(recency=5.0,delta=0.20)",HT,5.0,0.2,6,20,100,10000,,yes,0.2,1.0121036393762477
18,0.548599348690052,0.8028830715169295,0.2542837228268775,"Horvitz-Thompson(recency=5.0,delta=0.20)",HT,5.0,0.2,6,20,100,10000,,yes,0.2,1.0121036393762477
19,0.5879310149921728,0.7660075256558351,0.17807651066366226,"Horvitz-Thompson(recency=5.0,delta=0.20)",HT,5.0,0.2,6,20,100,10000,,yes,0.2,1.0121036393762477
20,0.5219753752874691,0.8341368824496997,0.3121615071622307,"Horvitz-Thompson(recency=5.0,delta=0.20)",HT,5.0,0.2,6,20,100,10000,,yes,0.2,1.0121036393762477
21,0.5355007284450294,0.8588081149595573,0.32330738651452795,"Horvitz-Thompson(recency=5.0,delta=0.20)",HT,5.0,0.2,6,20,100,10000,,yes,0.2,1.0121036393762477
22,0.4914462901801018,0.879548461839671,0.3881021716595692,"Horvitz-Thompson(recency=5.0,delta=0.20)",HT,5.0,0.2,6,20,100,10000,,yes,0.2,1.0121036393762477
