,gate_estimate_arm0,gate_estimate_arm1,gate_estimate,name,type,recency,delta,num_cells_per_dim,time_block_length,n,T,kappa,true_GATE
0,0.4585222253997299,0.5397851501782115,0.08126292477848157,"Horvitz-Thompson(recency=5,delta=0.20)",HT,5,0.2,90,10000,169,10000,0.035,0.9111475905555232
1,2.668147600688053,0.42436794327123867,-2.2437796574168143,"Horvitz-Thompson(recency=5,delta=0.20)",HT,5,0.2,90,10000,169,10000,0.035,0.9111475905555232
2,0.35178749838325757,1.5153679669912554,1.1635804686079978,"Horvitz-Thompson(recency=5,delta=0.20)",HT,5,0.2,90,10000,169,10000,0.035,0.9111475905555232
3,0.3934242172792086,0.711626655743514,0.3182024384643054,"Horvitz-Thompson(recency=5,delta=0.20)",HT,5,0.2,90,10000,169,10000,0.035,0.9111475905555232
4,0.1791144432835261,1.2947687837129749,1.1156543404294488,"Horvitz-Thompson(recency=5,delta=0.20)",HT,5,0.2,90,10000,169,10000,0.035,0.9111475905555232
5,0.32690430416792554,1.3486903952206866,1.021786091052761,"Horvitz-Thompson(recency=5,delta=0.20)",HT,5,0.2,90,10000,169,10000,0.035,0.9111475905555232
6,0.07876017637297297,2.0140599093481764,1.9352997329752033,"Horvitz-Thompson(recency=5,delta=0.20)",HT,5,0.2,90,10000,169,10000,0.035,0.9111475905555232
7,0.7442571916652506,0.8170117076623238,0.07275451599707317,"Horvitz-Thompson(recency=5,delta=0.20)",HT,5,0.2,90,10000,169,10000,0.035,0.9111475905555232
8,0.6593929972958074,0.6138329068642121,-0.04556009043159526,"Horvitz-Thompson(recency=5,delta=0.20)",HT,5,0.2,90,10000,169,10000,0.035,0.9111475905555232
9,0.5406857765018362,0.27541843830179585,-0.2652673382000404,"Horvitz-Thompson(recency=5,delta=0.20)",HT,5,0.2,90,10000,169,10000,0.035,0.9111475905555232
10,0.22908979916672492,0.22426044219082586,-0.004829356975899063,"Horvitz-Thompson(recency=5,delta=0.20)",HT,5,0.2,90,10000,169,10000,0.035,0.9111475905555232
11,0.46887748948837926,1.3193355181102213,0.850458028621842,"Horvitz-Thompson(recency=5,delta=0.20)",HT,5,0.2,90,10000,169,10000,0.035,0.9111475905555232
12,0.14376505659902486,1.5279313109238368,1.3841662543248119,"Horvitz-Thompson(recency=5,delta=0.20)",HT,5,0.2,90,10000,169,10000,0.035,0.9111475905555232
13,0.3383438531859105,8.196850399942074,7.858506546756163,"Horvitz-Thompson(recency=5,delta=0.20)",HT,5,0.2,90,10000,169,10000,0.035,0.9111475905555232
14,0.24640438531106995,0.3615238575266,0.11511947221553004,"Horvitz-Thompson(recency=5,delta=0.20)",HT,5,0.2,90,10000,169,10000,0.035,0.9111475905555232
15,0.73398783947509,1.7512284642667557,1.0172406247916657,"Horvitz-Thompson(recency=5,delta=0.20)",HT,5,0.2,90,10000,169,10000,0.035,0.9111475905555232
16,3.0565903313655274,0.2244941421950316,-2.8320961891704957,"Horvitz-Thompson(recency=5,delta=0.20)",HT,5,0.2,90,10000,169,10000,0.035,0.9111475905555232
17,0.2564596932307473,1.160167251463097,0.9037075582323497,"Horvitz-Thompson(recency=5,delta=0.20)",HT,5,0.2,90,10000,169,10000,0.035,0.9111475905555232
18,0.5431884598483564,3.539581274994919,2.9963928151465624,"Horvitz-Thompson(recency=5,delta=0.20)",HT,5,0.2,90,10000,169,10000,0.035,0.9111475905555232
19,1.5860406296659524,0.47586314295430954,-1.1101774867116427,"Horvitz-Thompson(recency=5,delta=0.20)",HT,5,0.2,90,10000,169,10000,0.035,0.9111475905555232
20,0.13666839223730767,0.3326003434012539,0.1959319511639462,"Horvitz-Thompson(recency=5,delta=0.20)",HT,5,0.2,90,10000,169,10000,0.035,0.9111475905555232
21,0.2663940619761483,2.0868324606634436,1.8204383986872954,"Horvitz-Thompson(recency=5,delta=0.20)",HT,5,0.2,90,10000,169,10000,0.035,0.9111475905555232
22,0.21490431791140926,1.7061400681806065,1.4912357502691973,"Horvitz-Thompson(recency=5,delta=0.20)",HT,5,0.2,90,10000,169,10000,0.035,0.9111475905555232
23,0.8333377852916697,1.2431458077591018,0.4098080224674321,"Horvitz-Thompson(recency=5,delta=0.20)",HT,5,0.2,90,10000,169,10000,0.035,0.9111475905555232
24,0.7611689420195659,0.2756804668661176,-0.4854884751534483,"Horvitz-Thompson(recency=5,delta=0.20)",HT,5,0.2,90,10000,169,10000,0.035,0.9111475905555232
25,2.188732071946214,3.859344168328789,1.6706120963825746,"Horvitz-Thompson(recency=5,delta=0.20)",HT,5,0.2,90,10000,169,10000,0.035,0.9111475905555232
26,0.4947340989541153,1.6387111926405002,1.143977093686385,"Horvitz-Thompson(recency=5,delta=0.20)",HT,5,0.2,90,10000,169,10000,0.035,0.9111475905555232
27,0.033688055344446945,2.966970464273306,2.933282408928859,"Horvitz-Thompson(recency=5,delta=0.20)",HT,5,0.2,90,10000,169,10000,0.035,0.9111475905555232
28,0.5875647542431162,0.997997422996886,0.4104326687537698,"Horvitz-Thompson(recency=5,delta=0.20)",HT,5,0.2,90,10000,169,10000,0.035,0.9111475905555232
29,0.33549496892059316,1.7289583922336986,1.3934634233131056,"Horvitz-Thompson(recency=5,delta=0.20)",HT,5,0.2,90,10000,169,10000,0.035,0.9111475905555232
