,gate_estimate_arm0,gate_estimate_arm1,gate_estimate,name,type,burn-in,n,T,num_cells_per_dim,time_block_length,kappa,true_GATE
0,0.5566783642811362,1.4139888691581484,0.8573105048770122,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
1,0.5056742405798678,1.448873185082995,0.9431989445031272,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
2,0.46981042156561026,1.4567528416155286,0.9869424200499184,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
3,0.529529279106598,1.4345068968971202,0.9049776177905222,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
4,0.47199718394877654,1.4949734538312789,1.0229762698825025,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
5,0.5329935184849722,1.4142644274760727,0.8812709089911005,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
6,0.49327238151812636,1.4524841126362482,0.9592117311181219,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
7,0.5218798018708476,1.4244596510663725,0.9025798491955249,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
8,0.5401566433064988,1.4223304095745208,0.882173766268022,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
9,0.5349498901106695,1.4265115448466155,0.891561654735946,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
10,0.4645189107252027,1.5100217925105424,1.0455028817853398,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
11,0.4805115128676324,1.4531354138462722,0.9726239009786398,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
12,0.4869196047998822,1.4849002458827398,0.9979806410828576,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
13,0.46768287480187054,1.4930324846143876,1.0253496098125172,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
14,0.5373017417101561,1.4173097063711975,0.8800079646610414,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
15,0.49279551890988665,1.4604135020040574,0.9676179830941707,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
16,0.485427540406357,1.477648576775501,0.9922210363691439,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
17,0.5091187418762477,1.4321709781008434,0.9230522362245956,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
18,0.4914018193160156,1.4532631423484181,0.9618613230324025,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
19,0.5196710520954076,1.4476724040453601,0.9280013519499525,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
20,0.5199089728195283,1.4368327410448059,0.9169237682252775,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
21,0.49873078647601615,1.4527898742056617,0.9540590877296455,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
22,0.49729375118844643,1.454062354563355,0.9567686033749087,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
23,0.507719781007999,1.4444563638399224,0.9367365828319234,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
24,0.5197036580411282,1.4351408374119758,0.9154371793708477,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
25,0.4948456953917052,1.4431916771038036,0.9483459817120984,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
26,0.5181696811594433,1.4359599178743785,0.9177902367149352,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
27,0.5313109296242784,1.4366425776133924,0.905331647989114,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
28,0.5196765658423348,1.4398938935354808,0.920217327693146,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
29,0.498567290086776,1.4394004588583416,0.9408331687715655,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
30,0.5175767932438958,1.4217601077600208,0.904183314516125,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
31,0.5051944037050128,1.4365703765599316,0.9313759728549188,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
32,0.5159221392449751,1.450781240080711,0.9348591008357359,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
33,0.5018348299238149,1.454545785277536,0.9527109553537212,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
34,0.5753799728840231,1.3668624298682994,0.7914824569842763,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
35,0.5484715660925482,1.4023804823304475,0.8539089162378993,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
36,0.5353184584255067,1.4155077987150728,0.8801893402895661,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
37,0.544023495340391,1.4256366425400233,0.8816131471996324,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
38,0.49933315308415943,1.4392947199668222,0.9399615668826629,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
39,0.5031100299576139,1.4518839750561876,0.9487739450985737,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
40,0.5272369336212513,1.4409191789347344,0.9136822453134831,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
41,0.5611289061568524,1.3915682138543475,0.8304393076974951,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
42,0.466784566782692,1.4684279383334817,1.0016433715507898,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
43,0.5128549011027284,1.4424804117470928,0.9296255106443645,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
44,0.530426973240204,1.416998146354022,0.886571173113818,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
45,0.48146785427359984,1.466215591528564,0.9847477372549641,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
46,0.5128513399098296,1.4303718088695196,0.9175204689596901,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
47,0.5618026032354966,1.3869233133546377,0.8251207101191411,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
48,0.5072835175773555,1.4524822844849103,0.9451987669075549,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
49,0.47979581587775966,1.4648605208695782,0.9850647049918185,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
50,0.522078573526156,1.4312794531035133,0.9092008795773573,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
51,0.5096459836764002,1.42934430471604,0.9196983210396397,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
52,0.48903188776469025,1.4759480722660356,0.9869161845013454,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
53,0.4687182154585475,1.475628640747918,1.0069104252893704,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
54,0.5675986349193259,1.3949618941173632,0.8273632591980372,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
55,0.5265693805448542,1.4330303615725155,0.9064609810276613,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
56,0.5020437368723564,1.455766789224594,0.9537230523522376,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
57,0.5159848488642937,1.4359049283368293,0.9199200794725355,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
58,0.523461497584949,1.4207885395199142,0.8973270419349653,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
59,0.49943310355360987,1.418213055869103,0.9187799523154931,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
60,0.51479902534945,1.4319843985485485,0.9171853731990985,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
61,0.455337127487331,1.495471803368833,1.040134675881502,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
62,0.5117526131176048,1.4442677798338739,0.9325151667162691,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
63,0.5571718603350914,1.39636808615125,0.8391962258161586,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
64,0.5261714399333416,1.4307204459932152,0.9045490060598737,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
65,0.4890838350920049,1.459409965702357,0.970326130610352,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
66,0.5071644282265751,1.443873457990276,0.936709029763701,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
67,0.49531829488261503,1.4788050257432885,0.9834867308606735,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
68,0.4895054239849984,1.445830602935154,0.9563251789501556,Diff-Means(burn-in=5),DM,5,169,10000,60,10000,0.035,0.9111475905555232
