,gate_estimate_arm0,gate_estimate_arm1,gate_estimate,name,type,recency,delta,num_cells_per_dim,time_block_length,n,T,burn-in,frac_param,kappa,true_GATE
0,0.5147932362087324,1.1135312968406317,0.5987380606318993,"Horvitz-Thompson(recency=10.0,delta=0.20)",HT,10.0,0.2,14,40,169,10000,,yes,0.035,0.9111475905555232
1,0.4938200394743295,1.1393590634268889,0.6455390239525594,"Horvitz-Thompson(recency=10.0,delta=0.20)",HT,10.0,0.2,14,40,169,10000,,yes,0.035,0.9111475905555232
2,0.5228590181342635,1.0649198914631002,0.5420608733288367,"Horvitz-Thompson(recency=10.0,delta=0.20)",HT,10.0,0.2,14,40,169,10000,,yes,0.035,0.9111475905555232
3,0.5447571542143841,1.0747182907315604,0.5299611365171764,"Horvitz-Thompson(recency=10.0,delta=0.20)",HT,10.0,0.2,14,40,169,10000,,yes,0.035,0.9111475905555232
4,0.5102519240628118,1.0875589223143876,0.5773069982515757,"Horvitz-Thompson(recency=10.0,delta=0.20)",HT,10.0,0.2,14,40,169,10000,,yes,0.035,0.9111475905555232
5,0.5097204584085551,1.1474497393651715,0.6377292809566164,"Horvitz-Thompson(recency=10.0,delta=0.20)",HT,10.0,0.2,14,40,169,10000,,yes,0.035,0.9111475905555232
6,0.5274590562157819,1.084625051704366,0.5571659954885841,"Horvitz-Thompson(recency=10.0,delta=0.20)",HT,10.0,0.2,14,40,169,10000,,yes,0.035,0.9111475905555232
7,0.5257583712968806,1.0677088194545787,0.5419504481576981,"Horvitz-Thompson(recency=10.0,delta=0.20)",HT,10.0,0.2,14,40,169,10000,,yes,0.035,0.9111475905555232
8,0.4923109485388955,1.1991217472427613,0.7068107987038659,"Horvitz-Thompson(recency=10.0,delta=0.20)",HT,10.0,0.2,14,40,169,10000,,yes,0.035,0.9111475905555232
9,0.5052818065724204,1.1302449570757267,0.6249631505033063,"Horvitz-Thompson(recency=10.0,delta=0.20)",HT,10.0,0.2,14,40,169,10000,,yes,0.035,0.9111475905555232
10,0.5123632185822612,1.1314009821087627,0.6190377635265015,"Horvitz-Thompson(recency=10.0,delta=0.20)",HT,10.0,0.2,14,40,169,10000,,yes,0.035,0.9111475905555232
11,0.5015494795564177,1.1115853614447841,0.6100358818883664,"Horvitz-Thompson(recency=10.0,delta=0.20)",HT,10.0,0.2,14,40,169,10000,,yes,0.035,0.9111475905555232
12,0.5410938638587346,1.0448613028998175,0.5037674390410829,"Horvitz-Thompson(recency=10.0,delta=0.20)",HT,10.0,0.2,14,40,169,10000,,yes,0.035,0.9111475905555232
13,0.49173020047094346,1.176209527290084,0.6844793268191407,"Horvitz-Thompson(recency=10.0,delta=0.20)",HT,10.0,0.2,14,40,169,10000,,yes,0.035,0.9111475905555232
14,0.6073250756867138,1.0128799902101842,0.40555491452347037,"Horvitz-Thompson(recency=10.0,delta=0.20)",HT,10.0,0.2,14,40,169,10000,,yes,0.035,0.9111475905555232
15,0.5127247223511919,1.081056233895409,0.5683315115442171,"Horvitz-Thompson(recency=10.0,delta=0.20)",HT,10.0,0.2,14,40,169,10000,,yes,0.035,0.9111475905555232
16,0.5406371217419158,1.0847097427424617,0.5440726210005459,"Horvitz-Thompson(recency=10.0,delta=0.20)",HT,10.0,0.2,14,40,169,10000,,yes,0.035,0.9111475905555232
17,0.5330559383218667,1.0727762050462524,0.5397202667243857,"Horvitz-Thompson(recency=10.0,delta=0.20)",HT,10.0,0.2,14,40,169,10000,,yes,0.035,0.9111475905555232
18,0.49650728040375297,1.1770067175493562,0.6804994371456032,"Horvitz-Thompson(recency=10.0,delta=0.20)",HT,10.0,0.2,14,40,169,10000,,yes,0.035,0.9111475905555232
19,0.5422541246018701,1.0673144111435653,0.5250602865416952,"Horvitz-Thompson(recency=10.0,delta=0.20)",HT,10.0,0.2,14,40,169,10000,,yes,0.035,0.9111475905555232
20,0.5092669802097589,1.0703423588074177,0.5610753785976588,"Horvitz-Thompson(recency=10.0,delta=0.20)",HT,10.0,0.2,14,40,169,10000,,yes,0.035,0.9111475905555232
21,0.5047752804726899,1.1204998920901978,0.6157246116175079,"Horvitz-Thompson(recency=10.0,delta=0.20)",HT,10.0,0.2,14,40,169,10000,,yes,0.035,0.9111475905555232
22,0.5268259898480991,1.109184511839619,0.5823585219915199,"Horvitz-Thompson(recency=10.0,delta=0.20)",HT,10.0,0.2,14,40,169,10000,,yes,0.035,0.9111475905555232
23,0.5407876910835434,1.0341931210382425,0.49340542995469905,"Horvitz-Thompson(recency=10.0,delta=0.20)",HT,10.0,0.2,14,40,169,10000,,yes,0.035,0.9111475905555232
24,0.5806734587625665,1.0265434180445263,0.4458699592819598,"Horvitz-Thompson(recency=10.0,delta=0.20)",HT,10.0,0.2,14,40,169,10000,,yes,0.035,0.9111475905555232
25,0.5260379351519691,1.0911137256628756,0.5650757905109065,"Horvitz-Thompson(recency=10.0,delta=0.20)",HT,10.0,0.2,14,40,169,10000,,yes,0.035,0.9111475905555232
26,0.5746598721376115,1.075961382775878,0.5013015106382666,"Horvitz-Thompson(recency=10.0,delta=0.20)",HT,10.0,0.2,14,40,169,10000,,yes,0.035,0.9111475905555232
